Brand,Model,Spec,Year,dB at idle,dB at 55 mph,dB at 65 mph,dB at 70 mph,dB at 75 mph,dB at 85 mph
Abarth,500,1.4 16v T-Jet,2008,47.3,67.3,70.2,70.4,72.9,75.6
Abarth,595,Competizione,2017,49.9,69.1,72.5,72.8,72.2,75.8
Acura,MDX,3.5 V6,2013,41.7,59.0,62.0,62.2,64.9,65.9
Acura,RDX,3.5 V6,2012,43.0,62.7,66.1,66.3,68.4,69.1
Acura,RL,3.7 V6,2009,43.6,64.3,67.9,68.1,71.3,72.4
Acura,RLX,3.5 V6,2013,39.5,57.1,60.2,60.4,63.5,64.5
Acura,RLX,3.5 V6,2016,42.2,57.7,60.4,60.6,63.7,64.8
Acura,TL,3.5 V6,2009,40.2,64.7,69.0,69.2,70.7,71.2
Acura,TL,3.7 V6,2010,39.9,54.8,57.4,57.6,61.5,62.8
Acura,TSX,2.4,2009,42.2,62.5,66.0,66.2,68.7,69.6
Acura,TSX,V6,2010,42.4,63.0,66.6,66.8,70.2,71.4
Acura,TSX,Stationcar,2011,48.8,62.5,64.9,65.1,67.5,68.3
Alfa Romeo,147,1.9 JTDm,2008,44.9,63.8,67.1,67.2,69.1,71.1
Alfa Romeo,159,2.2 JTS,2008,44.5,63.4,67.3,67.4,68.5,69.8
Alfa Romeo,159,2.2 JTS Selespeed,2008,44.5,63.4,67.3,67.4,68.5,69.8
Alfa Romeo,4C, ,2014,50.1,76.1,77.1,77.4,81.5,83.3
Alfa Romeo,Giulia,2.1d,2017,45.0,63.6,67.6,68.1,69.3,72.7
Alfa Romeo,Giulia,2.9 V6,2017,48.0,64.1,67.6,68.1,70.3,73.7
Alfa Romeo,Giulia,2.0,2018,41.3,59.1,66.3,67.1,68.5,70.8
Alfa Romeo,Giulietta,1.4,2010,44.1,64.1,66.3,66.7,68.7,71.1
Alfa Romeo,Giulietta,1.6 JTDm,2011,43.7,62.3,66.3,66.3,67.3,68.4
Alfa Romeo,Giulietta,1.4T,2012,42.1,61.2,63.8,64.2,66.7,68.3
