Model,Model Year,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size,Manufacturer ID,Category ID,Fuel ID
NSX,2022,,,21.0,Automatic,3.5L,365,27,45
A3 ,2022,,,32.0,Automatic,2.0L,377,27,45
A3 quattro,2022,,,31.0,Automatic,2.0L,377,27,45
A4 allroad quattro,2022,,,26.0,Automatic,2.0L,377,27,45
A4 quattro,2022,,,29.0,Automatic,2.0L,377,27,45
A4 S line quattro,2022,,,27.0,Automatic,2.0L,377,27,45
A5 Cabriolet quattro,2022,,,26.0,Automatic,2.0L,377,27,45
A5 Coupe quattro,2022,,,27.0,Automatic,2.0L,377,27,45
A5 Sportback quattro,2022,,,29.0,Automatic,2.0L,377,27,45
A5 Sportback S line quattro,2022,,,27.0,Automatic,2.0L,377,27,45
A6 Allroad quattro,2022,,,23.0,Automatic,3.0L,377,27,45
A6 quattro,2022,,,24.0,Automatic,3.0L,377,27,45
A7 quattro,2022,,,24.0,Automatic,3.0L,377,27,45
A7 TFSI e quattro,2022,26.0,70.0,27.0,Automatic,2.0L,377,27,57
A8L quattro,2022,,,22.0,Automatic,3.0L,377,27,45
e-tron GT,2022,238.0,82.0,,Automatic,175 kW electric motor,377,27,41
e-tron quattro,2022,222.0,78.0,,Automatic,141 kW and 172 kW electric motor,377,29,41
"e-tron S (20"" wheels)",2022,208.0,73.0,,Automatic,138kW electric motor,377,29,41
"e-tron S (21"" or 22"" wheels)",2022,181.0,63.0,,Automatic,138kW electric motor,377,29,41
e-tron Sportback quattro,2022,218.0,77.0,,Automatic,141 kW and 172 kW electric motor,377,29,41
"e-tron S Sportback (20"" wheels)",2022,212.0,75.0,,Automatic,138kW electric motor,377,29,41
"e-tron S Sportback (21"" or 22"" wheels)",2022,185.0,65.0,,Automatic,157kW electric motor,377,29,41
Q4 e-tron quattro,2022,241.0,95.0,,Automatic,80 kW and 150 kW electric motor,377,29,41
Q4 e-tron Sportback quattro,2022,241.0,95.0,,Automatic,80 kW and 150 kW electric motor,377,29,41
Q5 quattro,2022,,,25.0,Automatic,2.0L,377,29,45
Q5 S line quattro,2022,,,25.0,Automatic,2.0L,377,29,45
