Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size
Sedan/Wagon,NSX,2022,Acura,Hybrid Electric,,,21.0,Automatic,3.5L
Sedan/Wagon,A3 ,2022,Audi,Hybrid Electric,,,32.0,Automatic,2.0L
Sedan/Wagon,A3 quattro,2022,Audi,Hybrid Electric,,,31.0,Automatic,2.0L
Sedan/Wagon,A4 allroad quattro,2022,Audi,Hybrid Electric,,,26.0,Automatic,2.0L
Sedan/Wagon,A4 quattro,2022,Audi,Hybrid Electric,,,29.0,Automatic,2.0L
Sedan/Wagon,A4 S line quattro,2022,Audi,Hybrid Electric,,,27.0,Automatic,2.0L
Sedan/Wagon,A5 Cabriolet quattro,2022,Audi,Hybrid Electric,,,26.0,Automatic,2.0L
Sedan/Wagon,A5 Coupe quattro,2022,Audi,Hybrid Electric,,,27.0,Automatic,2.0L
Sedan/Wagon,A5 Sportback quattro,2022,Audi,Hybrid Electric,,,29.0,Automatic,2.0L
Sedan/Wagon,A5 Sportback S line quattro,2022,Audi,Hybrid Electric,,,27.0,Automatic,2.0L
Sedan/Wagon,A6 Allroad quattro,2022,Audi,Hybrid Electric,,,23.0,Automatic,3.0L
Sedan/Wagon,A6 quattro,2022,Audi,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,A7 quattro,2022,Audi,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,A7 TFSI e quattro,2022,Audi,Plug-in Hybrid Electric,26.0,70.0,27.0,Automatic,2.0L
Sedan/Wagon,A8L quattro,2022,Audi,Hybrid Electric,,,22.0,Automatic,3.0L
Sedan/Wagon,e-tron GT,2022,Audi,Electric,238.0,82.0,,Automatic,175 kW electric motor
SUV,e-tron quattro,2022,Audi,Electric,222.0,78.0,,Automatic,141 kW and 172 kW electric motor
SUV,"e-tron S (20"" wheels)",2022,Audi,Electric,208.0,73.0,,Automatic,138kW electric motor
SUV,"e-tron S (21"" or 22"" wheels)",2022,Audi,Electric,181.0,63.0,,Automatic,138kW electric motor
SUV,e-tron Sportback quattro,2022,Audi,Electric,218.0,77.0,,Automatic,141 kW and 172 kW electric motor
SUV,"e-tron S Sportback (20"" wheels)",2022,Audi,Electric,212.0,75.0,,Automatic,138kW electric motor
SUV,"e-tron S Sportback (21"" or 22"" wheels)",2022,Audi,Electric,185.0,65.0,,Automatic,157kW electric motor
SUV,Q4 e-tron quattro,2022,Audi,Electric,241.0,95.0,,Automatic,80 kW and 150 kW electric motor
SUV,Q4 e-tron Sportback quattro,2022,Audi,Electric,241.0,95.0,,Automatic,80 kW and 150 kW electric motor
SUV,Q5 quattro,2022,Audi,Hybrid Electric,,,25.0,Automatic,2.0L
SUV,Q5 S line quattro,2022,Audi,Hybrid Electric,,,25.0,Automatic,2.0L
SUV,Q5 Sportback S line quattro,2022,Audi,Hybrid Electric,,,25.0,Automatic,2.0L
Sedan/Wagon,Q5 TFSI e quattro,2022,Audi,Plug-in Hybrid Electric,23.0,61.0,26.0,Automatic,2.0L
SUV,Q7 quattro,2022,Audi,Hybrid Electric,,,20.0,Automatic,3.0L
SUV,Q8 quattro,2022,Audi,Hybrid Electric,,,20.0,Automatic,3.0L
Sedan/Wagon,RS 6 Avant,2022,Audi,Hybrid Electric,,,17.0,Automatic,4.0L
Sedan/Wagon,RS7,2022,Audi,Hybrid Electric,,,17.0,Automatic,4.0L
SUV,RS e-tron GT,2022,Audi,Electric,241.0,95.0,,Automatic,335 kW electric motor
