,time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum
0,2013-01-01,-17.3,-23.2,-21.6,-27.6,0.0
1,2013-01-02,-18.8,-31.0,-23.7,-35.7,0.0
2,2013-01-03,-15.9,-25.0,-20.1,-30.1,0.0
3,2013-01-04,-19.4,-24.8,-23.8,-29.4,0.0
4,2013-01-05,-16.1,-26.9,-20.6,-31.7,0.0
5,2013-01-06,-15.6,-28.3,-20.3,-33.3,0.0
6,2013-01-07,-14.7,-25.6,-19.2,-30.5,0.0
7,2013-01-08,-16.5,-27.5,-21.2,-32.4,0.0
8,2013-01-09,-14.7,-25.2,-19.3,-30.0,0.0
9,2013-01-10,-13.8,-24.7,-18.4,-29.5,0.0
10,2013-01-11,-12.5,-21.7,-16.9,-26.3,1.0
11,2013-01-12,-12.5,-23.1,-17.0,-27.5,6.0
12,2013-01-13,-15.8,-27.9,-20.3,-32.7,0.0
13,2013-01-14,-14.1,-25.9,-18.8,-30.9,0.0
14,2013-01-15,-13.3,-24.8,-17.7,-30.1,0.0
15,2013-01-16,-17.0,-25.2,-21.4,-29.6,0.0
16,2013-01-17,-16.5,-28.6,-20.8,-33.1,0.0
17,2013-01-18,-13.8,-24.5,-18.0,-29.2,0.0
18,2013-01-19,-13.3,-26.7,-17.7,-31.5,0.0
19,2013-01-20,-14.1,-22.9,-18.5,-27.5,0.0
20,2013-01-21,-13.4,-27.6,-18.0,-32.5,0.0
21,2013-01-22,-12.3,-21.9,-16.7,-26.9,0.0
22,2013-01-23,-12.8,-25.1,-17.1,-29.9,0.0
23,2013-01-24,-10.5,-25.0,-15.0,-29.7,0.0
24,2013-01-25,-8.3,-18.9,-12.5,-23.7,0.4
25,2013-01-26,-8.9,-20.9,-13.1,-25.5,0.3
26,2013-01-27,-9.1,-18.1,-13.1,-22.8,4.6
27,2013-01-28,-10.6,-15.1,-14.8,-19.3,9.3
28,2013-01-29,-9.4,-17.1,-13.6,-21.4,5.5
