Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Description,Electric-Only Range,PHEV Type,Drivetrain
13044,45,9.0,365,27,NSX,2022,,,21.0,22.0,21.0,Automatic,SI,3.5L,3.5L V6,,,AWD
12854,45,9.0,377,27,A3 ,2022,,,29.0,38.0,32.0,Automatic,SI,2.0L,2.0L I4,,,FWD
12842,45,9.0,377,27,A3 quattro,2022,,,28.0,36.0,31.0,Automatic,SI,2.0L,2.0L I4,,,AWD
12783,45,9.0,377,27,A4 allroad quattro,2022,,,24.0,30.0,26.0,Automatic,SI,2.0L,2.0L I4,,,AWD
12782,45,9.0,377,27,A4 quattro,2022,,,26.0,34.0,29.0,Automatic,SI,2.0L,2.0L I4,,,AWD
12784,45,9.0,377,27,A4 S line quattro,2022,,,24.0,31.0,27.0,Automatic,SI,2.0L,2.0L I4,,,AWD
12786,45,9.0,377,27,A5 Cabriolet quattro,2022,,,23.0,31.0,26.0,Automatic,SI,2.0L,2.0L I4,,,AWD
12785,45,9.0,377,27,A5 Coupe quattro,2022,,,24.0,31.0,27.0,Automatic,SI,2.0L,2.0L I4,,,AWD
12787,45,9.0,377,27,A5 Sportback quattro,2022,,,26.0,34.0,29.0,Automatic,SI,2.0L,2.0L I4,,,AWD
12788,45,9.0,377,27,A5 Sportback S line quattro,2022,,,24.0,31.0,27.0,Automatic,SI,2.0L,2.0L I4,,,AWD
12791,45,9.0,377,27,A6 Allroad quattro,2022,,,21.0,28.0,23.0,Automatic,SI,3.0L,3.0L V6,,,AWD
12790,45,9.0,377,27,A6 quattro,2022,,,21.0,30.0,24.0,Automatic,SI,3.0L,3.0L V6,,,AWD
12789,45,9.0,377,27,A6 quattro,2022,,,23.0,33.0,26.0,Automatic,SI,2.0L,2.0L I4,,,AWD
12794,45,9.0,377,27,A7 quattro,2022,,,21.0,30.0,24.0,Automatic,SI,3.0L,3.0L V6,,,AWD
12928,45,9.0,377,27,A8L quattro,2022,,,19.0,28.0,22.0,Automatic,SI,3.0L,3.0L V6,,,AWD
13023,45,9.0,377,29,Q5 quattro,2022,,,23.0,28.0,25.0,Automatic,SI,2.0L,2.0L I4,,,AWD
12795,45,9.0,377,29,Q5 S line quattro,2022,,,23.0,28.0,25.0,Automatic,SI,2.0L,2.0L I4,,,AWD
12796,45,9.0,377,29,Q5 Sportback S line quattro,2022,,,23.0,28.0,25.0,Automatic,SI,2.0L,2.0L I4,,,AWD
