ICA,Fecha,CO,NO,NO2,O3,SO3,PM_2.5,PM_10,NH3,Anio,Mes
5,2020-11-24,1815.8,211.0,79.51,0.0,7.87,63.81,90.35,14.06,2020,11
5,2020-11-24,2056.12,239.61,80.2,0.0,8.35,77.15,110.21,15.07,2020,11
5,2020-11-24,2189.64,257.49,79.51,0.0,8.94,86.94,126.06,16.47,2020,11
5,2020-11-24,2349.85,278.95,80.88,0.0,9.3,96.19,141.36,15.58,2020,11
5,2020-11-25,2109.53,246.76,76.08,0.0,7.99,83.11,129.25,9.12,2020,11
5,2020-11-25,1428.6,153.78,64.43,0.0,7.21,50.25,87.18,5.57,2020,11
3,2020-11-25,827.79,60.8,59.63,0.0,7.99,23.56,41.95,3.9,2020,11
3,2020-11-25,700.95,41.57,58.95,0.0,8.7,20.54,32.41,3.45,2020,11
3,2020-11-25,727.65,49.62,55.52,0.0,9.89,24.87,35.69,3.48,2020,11
4,2020-11-25,834.47,64.37,58.95,0.0,11.44,31.65,43.38,3.55,2020,11
4,2020-11-25,921.25,69.74,71.29,0.0,11.21,35.81,47.82,3.29,2020,11
4,2020-11-25,921.25,67.95,76.08,0.0,9.78,34.29,45.18,3.86,2020,11
4,2020-11-25,847.82,65.27,67.86,0.34,9.66,28.01,37.49,4.69,2020,11
3,2020-11-25,787.74,62.59,61.01,2.73,10.25,23.74,32.68,5.45,2020,11
2,2020-11-25,647.54,43.81,54.15,10.64,11.68,18.37,25.68,4.81,2020,11
1,2020-11-25,380.52,8.72,38.73,33.98,9.89,8.49,11.85,1.96,2020,11
1,2020-11-25,350.48,5.31,36.33,38.98,10.01,6.7,9.71,1.92,2020,11
1,2020-11-25,347.14,3.44,38.73,38.27,10.37,6.3,9.43,2.09,2020,11
2,2020-11-25,413.9,4.92,54.15,21.99,11.92,8.32,12.54,3.2,2020,11
2,2020-11-25,500.68,12.52,68.55,5.23,13.11,11.08,16.72,4.43,2020,11
2,2020-11-25,547.41,20.56,71.29,0.81,12.76,12.15,18.56,4.94,2020,11
2,2020-11-25,607.49,31.29,74.03,0.06,11.92,13.68,20.65,5.57,2020,11
2,2020-11-25,680.92,40.68,79.51,0.0,10.49,16.13,23.87,5.83,2020,11
2,2020-11-25,747.68,45.6,83.63,0.0,8.82,19.45,28.36,5.51,2020,11
3,2020-11-25,794.41,49.17,83.63,0.0,7.99,23.15,32.99,5.13,2020,11
4,2020-11-25,821.11,50.07,82.25,0.0,8.11,25.32,35.09,4.75,2020,11
4,2020-11-25,834.47,51.41,82.25,0.0,8.46,26.94,36.58,4.43,2020,11
4,2020-11-25,827.79,48.28,81.57,0.0,8.94,26.82,35.92,3.9,2020,11
3,2020-11-26,707.63,33.53,74.71,0.01,8.82,21.73,29.06,2.47,2020,11
2,2020-11-26,567.44,17.43,65.12,0.2,8.46,15.99,21.53,1.62,2020,11
2,2020-11-26,473.98,7.71,56.89,1.35,7.87,12.39,16.98,1.25,2020,11
2,2020-11-26,397.21,2.46,46.61,6.08,7.03,9.73,13.82,1.03,2020,11
1,2020-11-26,347.14,0.51,37.01,16.63,6.56,7.86,11.38,0.91,2020,11
1,2020-11-26,317.1,0.12,31.87,27.18,6.44,6.55,9.12,0.81,2020,11
1,2020-11-26,310.42,0.05,31.19,34.33,6.2,5.92,7.8,0.83,2020,11
1,2020-11-26,343.8,0.1,39.07,32.9,6.2,6.57,8.68,1.28,2020,11
1,2020-11-26,340.46,0.24,38.39,39.34,6.44,5.93,7.9,1.38,2020,11
1,2020-11-26,333.79,1.68,37.36,41.49,6.5,5.61,7.52,1.35,2020,11
1,2020-11-26,317.1,2.65,33.24,43.63,6.38,5.07,6.78,1.2,2020,11
1,2020-11-26,300.41,2.63,30.5,42.2,6.44,4.4,5.96,1.08,2020,11
1,2020-11-26,307.08,2.65,33.93,32.19,7.39,4.36,6.0,1.12,2020,11
2,2020-11-26,327.11,2.21,40.1,18.77,8.35,4.66,6.38,1.17,2020,11
2,2020-11-26,367.17,7.26,42.5,9.66,9.42,5.77,8.14,1.38,2020,11
2,2020-11-26,417.23,16.32,40.44,6.88,10.61,7.32,10.71,1.58,2020,11
2,2020-11-26,453.95,21.01,41.81,3.0,10.49,8.51,12.66,1.69,2020,11
2,2020-11-26,514.03,29.5,45.24,0.1,9.42,10.15,15.25,1.93,2020,11
2,2020-11-26,614.17,44.7,43.87,0.0,7.63,12.48,18.82,2.12,2020,11
2,2020-11-26,680.92,56.33,40.44,0.0,6.14,15.29,23.04,2.28,2020,11
2,2020-11-26,734.33,62.59,38.73,0.0,5.31,18.5,27.86,2.44,2020,11
2,2020-11-26,727.65,59.01,37.7,0.0,4.59,19.94,30.2,2.31,2020,11
2,2020-11-26,667.57,47.39,37.01,0.0,4.05,19.17,29.51,2.22,2020,11
2,2020-11-26,647.54,44.7,37.01,0.0,3.67,19.01,28.97,2.06,2020,11
2,2020-11-27,600.82,40.68,34.96,0.0,3.4,16.77,25.2,1.39,2020,11
2,2020-11-27,547.41,35.32,31.53,0.0,3.34,14.85,22.09,1.31,2020,11
2,2020-11-27,520.71,32.19,28.45,0.0,3.22,14.19,20.84,1.39,2020,11
2,2020-11-27,514.03,34.42,25.71,0.0,3.22,14.82,21.53,1.54,2020,11
2,2020-11-27,534.06,39.34,24.68,0.0,3.46,16.28,23.39,1.74,2020,11
2,2020-11-27,554.09,42.92,23.99,0.0,3.64,17.11,24.69,1.82,2020,11
2,2020-11-27,587.46,49.17,24.33,0.0,3.67,18.26,26.42,2.06,2020,11
4,2020-11-27,814.44,84.04,28.1,0.0,3.82,27.29,38.93,3.86,2020,11
4,2020-11-27,1108.17,134.11,32.56,0.14,4.35,37.05,52.65,5.0,2020,11
4,2020-11-27,1255.04,159.14,31.87,1.13,5.01,39.99,57.69,5.07,2020,11
4,2020-11-27,1134.87,135.9,29.13,2.66,6.32,33.99,50.53,4.94,2020,11
2,2020-11-27,620.84,51.41,31.53,9.21,14.42,16.51,24.08,3.17,2020,11
2,2020-11-27,567.44,39.79,39.07,12.88,17.17,15.99,22.75,3.36,2020,11
2,2020-11-27,547.41,33.98,46.61,13.05,18.84,15.55,22.25,3.61,2020,11
